date, f107
19750524,70.6
19750525,70.2
19750526,69.0
19750527,70.5
19750528,70.6
19750529,71.0
19750530,71.0
19750531,71.1
19750601,71.4
19750602,73.0
19750603,70.8
19750604,70.4
19750605,69.3
19750606,68.2
19750607,68.1
19750608,67.5
19750609,67.7
19750610,68.8
19750611,68.1
19750612,68.4
19750613,67.9
19750614,68.5
19750615,68.9
19750616,71.4
19750617,70.2
19750618,70.2
19750619,71.0
19750620,72.5
19750621,68.7
19750622,69.9
19750623,72.9
19750624,75.9
19750625,77.7
19750626,79.8
19750627,81.5
19750628,80.7
19750629,79.4
19750630,78.8
19750701,78.7
19750702,76.8
19750703,77.1
19750704,76.8
19750705,76.8
19750706,76.1
19750707,74.1
19750708,74.0
19750709,73.3
19750710,73.0
19750711,77.6
19750712,82.7
19750713,88.5
19750714,89.0
19750715,85.6
19750716,83.6
19750717,81.2
19750718,82.8
19750719,81.9
19750720,83.3
19750721,83.1
19750722,82.7
19750723,82.0
19750724,79.3
19750725,79.8
19750726,80.0
19750727,78.5
19750728,76.5
19750729,75.5
19750730,78.9
19750731,81.9
19750801,91.6
19750802,95.4
19750803,97.0
19750804,104.6
19750805,107.9
19750806,120.0
19750807,123.2
19750808,123.7
19750809,115.9
19750810,116.5
19750811,107.3
19750812,104.5
19750813,98.0
19750814,90.9
19750815,86.0
19750816,82.8
19750817,79.0
19750818,76.4
19750819,76.7
19750820,77.2
19750821,80.0
19750822,78.5
19750823,76.8
19750824,77.0
19750825,80.6
19750826,81.3
19750827,83.6
19750828,83.3
19750829,84.7
19750830,86.2
19750831,86.7
19750901,87.0
19750902,87.9
19750903,87.8
19750904,92.8
19750905,94.4
19750906,94.0
19750907,91.1
19750908,88.5
19750909,84.3
19750910,82.5
19750911,81.1
19750912,78.2
19750913,75.2
19750914,74.2
19750915,74.1
19750916,74.3
19750917,74.8
19750918,76.2
19750919,76.2
19750920,76.5
19750921,76.7
19750922,75.3
19750923,76.1
19750924,76.8
19750925,76.7
19750926,76.7
19750927,75.7
19750928,76.1
19750929,75.9
19750930,75.8
19751001,76.4
19751002,78.1
19751003,78.4
19751004,76.3
19751005,76.1
19751006,75.1
19751007,74.3
19751008,74.0
19751009,75.4
19751010,74.3
19751011,73.3
19751012,74.8
19751013,79.0
19751014,80.0
19751015,80.3
19751016,78.5
19751017,78.9
19751018,79.2
19751019,78.0
19751020,77.1
19751021,75.7
19751022,74.2
19751023,74.3
19751024,72.7
19751025,72.1
19751026,71.9
19751027,72.1
19751028,71.7
19751029,70.8
19751030,70.2
19751031,69.9
19751101,70.4
19751102,71.4
19751103,73.0
19751104,75.4
19751105,78.9
19751106,80.1
19751107,80.5
19751108,80.9
19751109,78.8
19751110,78.9
19751111,78.6
19751112,79.9
19751113,79.2
19751114,82.7
19751115,83.7
19751116,87.6
19751117,88.9
19751118,90.8
19751119,93.0
19751120,90.9
19751121,86.6
19751122,81.5
19751123,77.2
19751124,74.7
19751125,73.7
19751126,71.9
19751127,70.7
19751128,70.4
19751129,70.9
19751130,70.6
19751201,72.1
19751202,74.8
19751203,74.3
19751204,74.1
19751205,77.4
19751206,75.8
19751207,73.7
19751208,76.0
19751209,73.3
19751210,73.3
19751211,74.3
19751212,73.4
19751213,72.8
19751214,71.8
19751215,71.8
19751216,70.5
19751217,70.5
19751218,69.6
19751219,69.1
19751220,69.7
19751221,69.0
19751222,68.9
19751223,69.6
19751224,71.4
19751225,71.0
19751226,71.8
19751227,72.5
19751228,71.5
19751229,72.5
19751230,71.9
19751231,72.1
19760101,72.1
19760102,71.2
19760103,71.3
19760104,71.8
19760105,71.9
19760106,71.7
19760107,71.6
19760108,70.9
19760109,69.4
19760110,70.5
19760111,72.1
19760112,76.9
19760113,80.0
19760114,82.1
19760115,80.4
19760116,78.1
19760117,76.6
19760118,76.7
19760119,75.2
19760120,74.6
19760121,72.1
19760122,70.9
19760123,70.2
19760124,68.5
19760125,68.2
19760126,68.2
19760127,67.2
19760128,67.1
19760129,67.4
19760130,68.9
19760131,69.1
19760201,68.6
19760202,68.6
19760203,68.4
19760204,68.4
19760205,67.6
19760206,68.1
19760207,69.3
